,FG,SP,SF,FF,NP,FF.1,FG.1,NP.1,LB,GP,NP.2,FF.2,maxValues,Euclid Dist,Avg. Euc. Dist,Seq
0,,3.0,2.0,6.0,5.0,,,1.0,,7.0,,4.0,7.0,32.153548294631634,5.358924715771939,0
1,1.0,,6.0,5.0,7.0,,,4.0,2.0,,,3.0,7.0,25.352612533641306,4.225435422273551,0
2,1.0,4.0,,2.0,,5.0,,3.0,7.0,,6.0,,7.0,27.639497079571168,4.606582846595194,0
3,6.0,7.0,,,5.0,3.0,4.0,1.0,2.0,,,,7.0,25.885727338887506,4.314287889814584,0
4,,7.0,,3.0,4.0,6.0,1.0,,,,2.0,5.0,7.0,25.387043637469645,4.231173939578274,0
5,3.0,6.0,,4.0,7.0,,2.0,,1.0,,,5.0,7.0,22.732820144485586,3.7888033574142645,0
6,6.0,5.0,1.0,,3.0,7.0,2.0,,,,4.0,,7.0,32.50829821695552,5.418049702825919,0
7,3.0,,2.0,,5.0,,,,1.0,4.0,6.0,7.0,7.0,26.38964243488775,4.3982737391479585,0
8,7.0,,2.0,6.0,5.0,,1.0,,3.0,,,4.0,7.0,25.327718009089406,4.221286334848235,0
9,3.0,2.0,,,,1.0,7.0,,4.0,6.0,5.0,,7.0,36.10566939659016,6.01761156609836,0
10,3.0,2.0,,1.0,,6.0,4.0,7.0,,5.0,,,7.0,37.77073312252312,6.295122187087187,0
11,,,4.0,7.0,3.0,5.0,,2.0,6.0,,,1.0,7.0,21.349088897980224,3.558181482996704,0
12,1.0,7.0,,,,2.0,4.0,3.0,,5.0,6.0,,7.0,24.804758267704067,4.134126377950678,0
13,,7.0,5.0,,4.0,3.0,2.0,6.0,,1.0,,,7.0,27.48707211397585,4.581178685662642,0
14,,,7.0,,1.0,5.0,6.0,2.0,,3.0,4.0,,7.0,17.082078505394215,2.847013084232369,0
15,,4.0,,2.0,5.0,,1.0,,7.0,6.0,,3.0,7.0,24.278812793944038,4.046468798990673,0
16,,,4.0,,3.0,1.0,,5.0,6.0,2.0,7.0,,7.0,20.24016721370929,3.373361202284882,0
17,,6.0,,1.0,,2.0,5.0,7.0,,3.0,,4.0,7.0,31.31227952288083,5.218713253813472,0
18,,6.0,4.0,3.0,5.0,1.0,2.0,,7.0,,,,7.0,29.923533643846262,4.98725560730771,0
19,6.0,5.0,,2.0,,,4.0,1.0,,7.0,3.0,,7.0,40.855619743891644,6.809269957315274,0
20,5.0,,7.0,,1.0,,3.0,6.0,4.0,,,2.0,7.0,20.592569665440514,3.432094944240086,0
21,,6.0,7.0,,4.0,1.0,,3.0,2.0,,,5.0,7.0,23.104665417124046,3.8507775695206745,0
22,4.0,,,6.0,1.0,2.0,3.0,,7.0,,,5.0,7.0,8.543092144492462,1.4238486907487438,0
23,6.0,2.0,,,7.0,4.0,,,3.0,5.0,,1.0,7.0,38.77634464452082,6.4627241074201365,0
24,,5.0,1.0,,2.0,7.0,6.0,,4.0,,,3.0,7.0,32.50970475892632,5.41828412648772,0
25,2.0,,6.0,7.0,,5.0,,,4.0,1.0,,3.0,7.0,27.781347890922,4.630224648487,0
26,,1.0,6.0,,2.0,4.0,,,7.0,,3.0,5.0,7.0,24.221864821348333,4.0369774702247225,0
27,,,,6.0,,5.0,3.0,2.0,,4.0,7.0,1.0,7.0,23.21849016341386,3.869748360568977,0
28,5.0,3.0,2.0,4.0,,1.0,,,7.0,,,6.0,7.0,27.20658434006124,4.53443072334354,0
29,,,,6.0,2.0,7.0,1.0,5.0,4.0,,3.0,,7.0,10.928984983922385,1.8214974973203975,0
30,7.0,,2.0,,5.0,4.0,6.0,1.0,,3.0,,,7.0,22.608528899795132,3.7680881499658554,0
31,,1.0,3.0,,2.0,4.0,5.0,6.0,7.0,,,,7.0,26.068722947053185,4.344787157842197,0
32,,4.0,,3.0,,6.0,2.0,1.0,7.0,5.0,,,7.0,30.70604386706364,5.11767397784394,0
