,GP,LB,FF,SP,FF.1,SF,PD,NP,FG,maxValues,Euclid Dist,Avg. Euc. Dist,Seq
0,3.0,1.0,5.0,2.0,7.0,,,4.0,6.0,7.0,22.464509679639292,3.7440849466065487,0
1,7.0,6.0,2.0,,1.0,5.0,,4.0,3.0,7.0,19.016056810128987,3.1693428016881646,0
2,4.0,,5.0,3.0,6.0,2.0,,1.0,7.0,7.0,21.55899683242423,3.593166138737372,0
3,4.0,6.0,3.0,2.0,1.0,7.0,5.0,,,7.0,44.55765986906203,7.4262766448436714,0
4,6.0,2.0,,5.0,4.0,3.0,,1.0,7.0,7.0,37.978429840865914,6.329738306810985,0
5,,5.0,6.0,,3.0,2.0,4.0,7.0,1.0,7.0,27.727866713009703,4.62131111883495,0
6,1.0,6.0,4.0,,5.0,,2.0,3.0,7.0,7.0,22.20973610759775,3.701622684599625,0
7,3.0,4.0,,7.0,2.0,1.0,5.0,6.0,,7.0,32.410577392381356,5.401762898730226,0
8,1.0,5.0,,3.0,4.0,2.0,6.0,,7.0,7.0,27.676023540161466,4.612670590026911,0
9,,7.0,3.0,,6.0,2.0,1.0,5.0,4.0,7.0,27.710019133218076,4.618336522203013,0
10,,5.0,6.0,3.0,7.0,4.0,1.0,,2.0,7.0,25.890203532782955,4.3150339221304925,0
11,4.0,2.0,6.0,,3.0,5.0,,1.0,7.0,7.0,23.024375388656455,3.8373958981094094,0
12,3.0,,7.0,5.0,4.0,2.0,,1.0,6.0,7.0,38.16575942101648,6.360959903502747,0
13,3.0,2.0,6.0,4.0,7.0,5.0,1.0,,,7.0,24.677225822891323,4.112870970481887,0
14,5.0,7.0,2.0,3.0,1.0,,,6.0,4.0,7.0,32.50011812112617,5.416686353521029,0
15,1.0,5.0,,3.0,7.0,2.0,,6.0,4.0,7.0,29.192873007561634,4.865478834593605,0
16,,2.0,3.0,6.0,1.0,5.0,4.0,7.0,,7.0,28.2170157076786,4.702835951279766,0
17,1.0,2.0,4.0,,5.0,6.0,7.0,,3.0,7.0,23.396766702315116,3.8994611170525193,0
18,6.0,,3.0,4.0,,5.0,7.0,1.0,2.0,7.0,31.977399802916892,5.329566633819482,0
19,,7.0,,6.0,5.0,2.0,4.0,3.0,1.0,7.0,38.78610350037339,6.464350583395565,0
20,,7.0,6.0,2.0,5.0,4.0,3.0,,1.0,7.0,42.86640147321384,7.14440024553564,0
21,7.0,1.0,,5.0,4.0,,3.0,6.0,2.0,7.0,26.286556783200187,4.381092797200031,0
22,5.0,,,7.0,6.0,4.0,2.0,1.0,3.0,7.0,34.767813359881345,5.794635559980224,0
23,3.0,4.0,,5.0,7.0,2.0,1.0,6.0,,7.0,35.888076436534014,5.981346072755669,0
24,1.0,6.0,7.0,4.0,2.0,3.0,,5.0,,7.0,29.143812605078487,4.857302100846415,0
25,1.0,4.0,3.0,2.0,7.0,,,5.0,6.0,7.0,26.664905578399587,4.444150929733264,0
26,2.0,1.0,3.0,4.0,5.0,,7.0,6.0,,7.0,38.381791622904096,6.396965270484016,0
27,6.0,5.0,1.0,,3.0,2.0,7.0,4.0,,7.0,29.310481917664802,4.8850803196108,0
28,4.0,7.0,2.0,1.0,,5.0,6.0,,3.0,7.0,35.70125498649552,5.95020916441592,0
29,4.0,1.0,7.0,3.0,6.0,,5.0,,2.0,7.0,29.942669168478975,4.990444861413162,0
30,3.0,2.0,,4.0,5.0,1.0,6.0,7.0,,7.0,32.4257280506359,5.404288008439316,0
31,3.0,2.0,,5.0,,1.0,6.0,7.0,4.0,7.0,44.39217264238992,7.3986954403983205,0
32,1.0,,,7.0,6.0,3.0,2.0,4.0,5.0,7.0,36.40836176768207,6.0680602946136775,0
33,,7.0,3.0,1.0,6.0,2.0,4.0,5.0,,7.0,24.58845641495985,4.098076069159975,0
34,,2.0,1.0,,4.0,7.0,3.0,6.0,5.0,7.0,18.9002068299771,3.1500344716628503,0
35,7.0,,4.0,6.0,1.0,5.0,3.0,,2.0,7.0,20.78823102738635,3.464705171231058,0
36,2.0,4.0,5.0,,6.0,1.0,7.0,3.0,,7.0,13.110100808406367,2.185016801401061,0
37,6.0,5.0,,,3.0,7.0,1.0,4.0,2.0,7.0,14.284026039684612,2.380671006614102,0
