,GP,LB,FF,SP,FF.1,SF,PD,NP,FG,maxValues,Euclid Dist,Avg. Euc. Dist,Seq
7,4.0,1.0,7.0,3.0,5.0,6.0,8.0,9.0,2.0,9.0,47.771133113421534,5.971391639177692,1
16,7.0,5.0,3.0,9.0,2.0,8.0,1.0,6.0,4.0,9.0,18.954229949468164,2.3692787436835205,1
18,,3.0,1.0,5.0,2.0,4.0,,,,5.0,13.553393401983397,3.3883483504958494,1
22,6.0,1.0,7.0,3.0,4.0,,5.0,8.0,2.0,8.0,43.69894062131401,6.242705803044858,1
25,5.0,3.0,8.0,1.0,9.0,7.0,4.0,6.0,2.0,9.0,40.591952595639924,5.0739940744549905,1
27,4.0,2.0,6.0,9.0,5.0,7.0,1.0,8.0,3.0,9.0,39.074385979748065,4.884298247468508,1
31,5.0,,3.0,4.0,1.0,2.0,,,,5.0,30.987298860706204,7.746824715176551,1
33,7.0,6.0,2.0,5.0,1.0,3.0,,4.0,8.0,8.0,37.192995497723665,5.3132850711033806,1
36,5.0,4.0,3.0,,2.0,1.0,,,6.0,6.0,19.485636627167068,3.897127325433414,1
38,4.0,5.0,6.0,3.0,2.0,1.0,8.0,,7.0,8.0,31.543814162433183,4.506259166061883,1
39,,,5.0,1.0,4.0,2.0,3.0,,,5.0,14.648836673948153,3.6622091684870384,1
40,3.0,1.0,2.0,5.0,4.0,,,,,5.0,25.00137350078233,6.250343375195582,1
43,1.0,3.0,7.0,6.0,2.0,9.0,5.0,8.0,4.0,9.0,44.0654452338126,5.508180654226575,1
49,7.0,2.0,4.0,1.0,3.0,9.0,5.0,8.0,6.0,9.0,27.332154388474144,3.416519298559268,1
53,6.0,1.0,3.0,7.0,2.0,,4.0,,5.0,7.0,17.77498687343757,2.962497812239595,1
56,7.0,4.0,2.0,6.0,1.0,3.0,8.0,9.0,5.0,9.0,46.65040548379501,5.8313006854743765,1
59,6.0,,5.0,1.0,2.0,4.0,7.0,,3.0,7.0,39.66561704305581,6.610936173842635,1
60,6.0,4.0,5.0,8.0,1.0,9.0,2.0,7.0,3.0,9.0,28.588321932255077,3.5735402415318847,1
61,1.0,6.0,,2.0,,,5.0,3.0,4.0,6.0,22.763263711284573,4.552652742256915,1
70,3.0,4.0,8.0,1.0,7.0,6.0,2.0,9.0,5.0,9.0,44.6340512183134,5.579256402289175,1
73,,1.0,5.0,6.0,3.0,,4.0,,2.0,6.0,18.530884655107037,3.7061769310214077,1
80,5.0,2.0,7.0,1.0,6.0,8.0,3.0,9.0,4.0,9.0,37.47503171009786,4.684378963762232,1
83,5.0,9.0,2.0,8.0,1.0,4.0,3.0,7.0,6.0,9.0,41.78772890521927,5.2234661131524085,1
92,5.0,6.0,3.0,1.0,2.0,4.0,,,,6.0,25.353122428349245,5.070624485669849,1
102,4.0,1.0,,2.0,5.0,,3.0,,,5.0,33.72384340514905,8.430960851287262,1
104,8.0,2.0,7.0,4.0,3.0,9.0,6.0,5.0,1.0,9.0,41.643003701944124,5.2053754627430155,1
106,7.0,9.0,2.0,3.0,1.0,4.0,5.0,6.0,8.0,9.0,40.92811444870076,5.116014306087595,1
110,3.0,1.0,9.0,2.0,8.0,4.0,6.0,5.0,7.0,9.0,30.684560688274157,3.8355700860342696,1
117,3.0,5.0,6.0,2.0,,4.0,,7.0,1.0,7.0,34.978048326350375,5.829674721058396,1
126,5.0,7.0,4.0,1.0,3.0,2.0,,6.0,,7.0,20.87927387888343,3.4798789798139054,1
134,2.0,,1.0,3.0,,4.0,,,,4.0,15.9442370416657,5.314745680555233,1
137,6.0,4.0,2.0,3.0,1.0,9.0,7.0,8.0,5.0,9.0,46.07172387819158,5.758965484773947,1
139,8.0,5.0,3.0,6.0,1.0,7.0,4.0,9.0,2.0,9.0,27.805814637839877,3.4757268297299846,1
141,5.0,4.0,6.0,1.0,2.0,3.0,8.0,9.0,7.0,9.0,39.262380100176166,4.907797512522021,1
144,7.0,2.0,6.0,1.0,5.0,8.0,3.0,,4.0,8.0,24.97743092250112,3.56820441750016,1
150,6.0,4.0,5.0,2.0,7.0,,1.0,,3.0,7.0,41.845755068857905,6.9742925114763175,1
151,6.0,2.0,8.0,5.0,7.0,,3.0,4.0,1.0,8.0,31.982822690788947,4.5689746701127065,1
153,,6.0,1.0,,3.0,2.0,4.0,,5.0,6.0,20.205462136850684,4.0410924273701365,1
160,9.0,5.0,3.0,6.0,1.0,7.0,2.0,8.0,4.0,9.0,27.720765159810814,3.4650956449763517,1
165,5.0,7.0,,1.0,2.0,3.0,6.0,,4.0,7.0,43.70347602639573,7.283912671065955,1
175,,,,4.0,1.0,,3.0,,2.0,4.0,14.01046821954748,4.670156073182493,1
179,,4.0,2.0,1.0,5.0,,,,3.0,5.0,18.367358100861928,4.591839525215482,1
180,,2.0,6.0,4.0,3.0,,1.0,,5.0,6.0,30.69267280853226,6.138534561706452,1
182,,,,2.0,1.0,4.0,,,3.0,4.0,30.458360580913116,10.152786860304372,1
192,3.0,,5.0,1.0,,,2.0,,4.0,5.0,26.73839028090534,6.684597570226335,1
195,6.0,1.0,5.0,3.0,7.0,8.0,4.0,,2.0,8.0,47.53235949999257,6.79033707142751,1
